pkg_name,app_name,os_type,source,url,download_count,main_category,sub_category,icon,update_time,developer,create_month,desc,crawl_main_category,category_sequence,crawl_category_origin,category_code,month
com.ShengHe.wzcq.aligames,王者传奇,0,0,https://www.wandoujia.com/apps/com.ShengHe.wzcq.aligames,2783000,网络游戏,RPG,https://android-artworks.25pp.com/fs08/2020/09/24/8/109_42da2c7f21b7625c0369550fc92d9441_con_130x130.png,2020年09月24日,上海欣烁网络科技有限公司,202010,"经典1.76传奇动作手游《王者传奇》震撼来袭!游戏继承""传奇""的核心玩法,延续了传奇世界的经典设定，,完美复刻顶级蓝光画质.炫酷套装,百人同屏PK,重温经典传奇，传奇不死，兄弟情谊永不灭，《王者传奇》等你来战!【游戏特色】传承传奇1.76经典玩法 带来极致体验蓝光级高清画质 极致唯美的视觉体验百人同屏，红名爆装，点燃全民PK狂潮  王者传奇2020更新内容新功能：1.即将开放圣域远征季后赛，带领帮会的强手与其它区服帮会的对战，争夺天下第一帮的头衔2.天梯3v3老区和新区划分为龙榜天梯和虎榜天梯2个赛区，总冠军奖励分别为青龙之心和白虎之心3.开服360天，亚特兰蒂斯的章鱼洞开放第三层，有概率掉落14转装备和精金4.逐鹿天下开放补给箱玩法，占领补给箱，可额外获得稀有道具5.开放新的魔化地图——魔化苍月岛、魔化神龙帝国6.主界面技能释放优化，新增1个可解锁的技能槽，并调整了背包按钮的位置7.原快捷栏设置由设置界面调整到技能界面，并可放置技能进入快捷栏功能优化:8.优化天梯3v3和5v5的第一轮晋级赛，晋级500强调整为晋级200强9.虚境一、二、三层场景玩法全新升级10.调整神龙押镖路线11.提升刺客天生的闪避值12.优化收到拉令的弹窗，不再打断玩家操作13.优化神龙都城战己方占领的旗帜，不可重复操作导致旗帜失去归属14.战损排行榜新增查看详细掉落15.优化受到帮会合并请求，有半小时可反悔的缓冲时间16.仁者无敌状态的持续时间缩短到90秒17.传送戒指系列的穿戴持续时",网络游戏,1,网络游戏,900400,0
com.dalan.cqdjxb,传奇单机新版,0,0,https://www.wandoujia.com/apps/com.dalan.cqdjxb,235000,角色扮演,武侠,https://android-artworks.25pp.com/fs08/2018/05/10/11/110_1bd71751cba8ed95d0854f93a55429b2_con_130x130.png,2018年05月10日,兰图霍尔果斯兰图网络科技有限公司,201904,"热血情怀巅峰大作单机传奇战、法、道三职业设定平衡，经典pk，万人攻城，丰富的BOSS,炫酷的坐骑翅膀，装备全靠打,单机传奇邀你体验一个全新震撼的游戏世界。  更新内容",角色扮演,1,角色扮演,901000,0
com.dalan.cqdjxb,传奇单机新版,0,0,https://www.wandoujia.com/apps/com.dalan.cqdjxb,235000,动作冒险,角色扮演,https://android-artworks.25pp.com/fs08/2018/05/10/11/110_1bd71751cba8ed95d0854f93a55429b2_con_130x130.png,2018年05月10日,兰图霍尔果斯兰图网络科技有限公司,201904,"热血情怀巅峰大作单机传奇战、法、道三职业设定平衡，经典pk，万人攻城，丰富的BOSS,炫酷的坐骑翅膀，装备全靠打,单机传奇邀你体验一个全新震撼的游戏世界。  更新内容",角色扮演,1,动作冒险,901000,0
com.m1377.mobile.lczg,蓝月至尊版,0,0,https://www.wandoujia.com/apps/com.m1377.mobile.lczg,478000,角色扮演,即时,https://android-artworks.25pp.com/fs08/2019/08/27/7/110_6f41e86be495128f8166099e2f837cb3_con_130x130.png,2020年01月21日,海南易玩网络科技有限公司,202010,《蓝月争霸》是一款可在线挂机的游戏，创意十足的对战副本玩法绝对是玩家关注的焦点。巅峰挑战，对战玩法团战、个人pk，各类玩法，等你开启!蓝月争霸游戏特色【在线挂机，经验飞升】全民双倍挂机，副本经验双倍领取，对战经验获取，各类玩法助你快速到达等级巅峰，体验最全玩法【远古头目 精准击杀】头目刷新，争抢资源。远古降世，全民挑战。 到底是被boss践踏脚下，还是杀怪爆装，等你来战!【激情爆装 自由交易】超激情爆装体验，自由交易随心所欲。 行会、师徒、婚姻、结拜多元化社交玩法，你不是一个人在战斗!  蓝月至尊版2020更新内容1、千人同屏激战，随时都能开启嗜血的pk竞技，场面华丽；2、巨大的地图，超多的秘境，等你来一一的探索其中的奥秘；3、自由的玩法，随时都能和好友一起携手比拼，干掉一波波的怪物和BOSS。,角色扮演,1,角色扮演,901000,0
com.m1377.mobile.lczg,蓝月至尊版,0,0,https://www.wandoujia.com/apps/com.m1377.mobile.lczg,478000,动作冒险,角色扮演,https://android-artworks.25pp.com/fs08/2019/08/27/7/110_6f41e86be495128f8166099e2f837cb3_con_130x130.png,2020年01月21日,海南易玩网络科技有限公司,202010,《蓝月争霸》是一款可在线挂机的游戏，创意十足的对战副本玩法绝对是玩家关注的焦点。巅峰挑战，对战玩法团战、个人pk，各类玩法，等你开启!蓝月争霸游戏特色【在线挂机，经验飞升】全民双倍挂机，副本经验双倍领取，对战经验获取，各类玩法助你快速到达等级巅峰，体验最全玩法【远古头目 精准击杀】头目刷新，争抢资源。远古降世，全民挑战。 到底是被boss践踏脚下，还是杀怪爆装，等你来战!【激情爆装 自由交易】超激情爆装体验，自由交易随心所欲。 行会、师徒、婚姻、结拜多元化社交玩法，你不是一个人在战斗!  蓝月至尊版2020更新内容1、千人同屏激战，随时都能开启嗜血的pk竞技，场面华丽；2、巨大的地图，超多的秘境，等你来一一的探索其中的奥秘；3、自由的玩法，随时都能和好友一起携手比拼，干掉一波波的怪物和BOSS。,角色扮演,1,动作冒险,901000,0
com.sj3975.rxcs.aligames,热血传说,0,0,https://www.wandoujia.com/apps/com.sj3975.rxcs.aligames,104000,网络游戏,RPG,https://android-artworks.25pp.com/fs08/2019/12/27/4/109_ac0b2e8f46512f712373b6ecca0c149b_con_130x130.png,2019年12月27日,江苏三九互娱网络科技有限公司,202010,2DMMORPG经典之作《热血传说》创世归来，延续战法道三职业设定，以大世界、多人在线玩法为主，丰富的团体PVP活动玩法，强大的公会管理功能，自由交易暴击加成，简单易上手的操作流程，轻松畅快地创造属于自己的指尖传说！  热血传说更新内容修复异常bug,网络游戏,1,网络游戏,900400,0
com.tanwan.h5.cqdjb,传奇单机版,0,0,https://www.wandoujia.com/apps/com.tanwan.h5.cqdjb,91000,网络游戏,,https://android-artworks.25pp.com/fs08/2019/09/20/0/1_47dc4c61239b0993a37d063502350453_con_130x130.png,2019年09月20日,,202003,久远的时候神龙帝国发现了富饶的玛法大陆，这里的土地不仅适合农作物的生长，而且拥着有着丰富的矿藏和财富，这一消息让人们欣喜若狂。于是，摧木伐林、破山采石，拔寨建城，伟大的比奇城在移民的努力下平地而起!    可惜好景不长，移民们建立起的巨大财富引起了当地土著半兽人族的窥视。大量移民的定居点被半兽人入侵，百姓被残忍的屠杀，很多村庄十室九空，大量的财富被半兽人掠走，移民们惶惶不可终日。    在这最可怕的时刻，奇迹出现了!三龙卫带领着神龙帝国派来的援军笔直冲进了半兽人军团的大阵，扭转了必败之局。一时间尸山血海翻腾，残肢断臂飞扬，鲜血都漫过了人们的膝盖，半兽人死伤惨重，士气低落，眼看破城无望，只能下令撤退。    这场比奇保卫战杀的酣畅淋漓，杀得兽人胆战心惊，魂不附体，此后只要龙卫一出现，兽人立刻鼠窜狼奔。比奇有言：龙卫驻，兽人无。    可惜人力有尽时，无论龙卫有多强大的生命力也无法逃离死亡。得知伟大的勇士们逝世的消息，比奇存活的百姓捶胸顿足，心如刀割。没有龙卫的军队已经不是以前的军队了，所有人心中皆是茫然若失。    在国王极力的封锁下，龙卫已经死亡的消息还是被半兽人族得知！这群嗜血贪婪的强盗们认为龙卫一死兽人的崛起便势不可挡，全族士气大振，从此玛法大陆战事再起。    兽潮压城城欲摧，比奇浴血血满城!    所有人都期待着新英雄的出现，能够继承龙卫的遗志，再次带领他们力挽狂澜!  传奇单机版更新内容一、	还原经典传奇，大型智能ARPG游戏二、	超强引擎，无缝跨三屏（安卓/IOS/PC）三、	丰富的游戏内容（英雄合击，传世装备，BOSS，帮会，探索，天梯）四、	颠覆传统游戏单英雄战斗体验，感受四人行并肩pk的爽快五、	独有的帮会驻地场景，丰富的帮会系统玩法！并肩征战九州，问鼎传奇之巅，兄弟们等你来战！有一种记忆，不会因岁月而磨灭；杀人爆装，多人同屏！有一种感动，不会随时间而褪色；兄弟百人，同仇敌忾！还记得，我们木剑在手，就敢剑指天下，笑傲江湖的岁月吗？还记得，我们打拼天下，一起同甘共苦，荣誉与共的热血青春吗？加入《传奇单机版》与兄弟并肩征战，重温旧梦！向永不磨灭的青春致敬！,网络游戏,1,网络游戏,900400,0
com.tencent.lycqsh,蓝月传奇,0,0,https://www.wandoujia.com/apps/com.tencent.lycqsh,723000,网络游戏,RPG,https://android-artworks.25pp.com/fs08/2020/08/06/8/109_10a8842da109e8ea4cd9427dc34a2646_con_130x130.png,2020年08月06日,腾讯科技（上海）有限公司,202010,《蓝月传奇》是一款以打宝为特色的RPG手游。游戏整体节奏快，开局就保送120级，刷怪爆率高，攻击速度快。同时，加入单职业和英雄合击玩法，玩家可在紧张的多人竞技争霸中畅享PK乐趣。  蓝月传奇2020更新内容1、新增青春校园和清凉夏日共4个碎片分解2、新增雪人(激活道具)分解3、更新支付sdk4、修复一些bug,网络游戏,1,网络游戏,900400,0
com.tencent.woool3d,传奇世界3D,0,0,https://www.wandoujia.com/apps/com.tencent.woool3d,651000,网络游戏,RPG,https://android-artworks.25pp.com/fs08/2019/12/31/4/109_70b9385c239e27506ca84fec76504734_con_130x130.png,2019年11月08日,腾讯科技（上海）有限公司,202010,5月29日开测！《传奇世界3D》是腾讯首款传奇3Dmmorpg大作，传承15年经典玩法：矿洞战尸王、炼狱挑战精英怪、群战尸霸、蛇妖王、再闯铁血魔城；画面全面升级，美轮美奂的落霞岛，雄伟壮丽的中州城，场面宏大的沙城战场，全新“空中攻沙”玩法，可通过驾驶投石车、密道、甚至飞艇进攻沙城，飞天遁地无所不能；更有丰富的社交体验，喝酒、烤肉、划拳、歌舞、双人秋千、搭帐篷、斗地主，兄弟聚首，其乐无穷；带来颠覆性手游体验！  传奇世界3D更新内容【主要更新内容】1.职业专精——新增功能：战法道3职业可以各有两个专精方向，每个专精方向有2个特色的技能，专精职业助你PK旗开得胜。2.专精等级——提升专精等级可以获得大量属性，获得战斗力就是如此简单。3.新试练塔——试练塔重新设计，几千层的挑战带给你全新的体验。4.时装系统——夺宝区推出全新的时装升级系统，特色时装值得拥有。5.结义系统——夺宝区开放了结义技能，有兄弟，PK才畅快。,网络游戏,1,网络游戏,900400,0
com.tqwdwn.yhfd.twlyz,贪玩蓝月,0,0,https://www.wandoujia.com/apps/com.tqwdwn.yhfd.twlyz,1232000,角色扮演,武侠,https://android-artworks.25pp.com/fs08/2019/03/28/3/1_d4a45908f34be6ddfc16af814b4d11e1_con_130x130.png,2019年07月16日,江西贪玩信息技术有限公司,202010,真男人·甄传奇，今晚8点来《贪玩蓝月》看甄子丹沙城打十个！ 甄子丹成为《贪玩蓝月》2019年拳新代言人，说起子丹哥在我们的印象中就是——真男人、真功夫、真兄弟、真帅气！ 新的一年，子丹哥将化身成为新一任《贪玩蓝月》城主，守护着每一位贪玩蓝月兄弟，陪各位兄弟一起热血攻沙！  贪玩蓝月更新内容更新内容：新功能：  1、新增伙伴系统  优化调整：  2、玲珑宝塔中道士毒法师火墙对稻草人伤害调整为1点  3、优化神炉-护盾显示的属性,角色扮演,1,角色扮演,901000,0
